id,Final_Image_Path,Dublin Core:Creator,Dublin Core:Date,Dublin Core:Description,Dublin Core:Identifier,Dublin Core:Is Format Of,Dublin Core:Publisher,Dublin Core:Subject,Dublin Core:Title,Dublin Core:Type,Item Type Metadata:Addressee,Item Type Metadata:Addressor,Item Type Metadata:Features,Item Type Metadata:Place of Postmark,Item Type Metadata:Written Message,added,collection_id,Collection_Name,featured,files_count,item_type_id,item_type_name,modified,owner_id,public,tags,url,Item Type Metadata:Genre,Item Type Metadata:Lyrics By,Item Type Metadata:Music By,Item Type Metadata:Box,Imported Category,Imported ID
3437,no_image_found,"Stretton, Hesba",1871,fair|YA,1|Shelf,,"Dodd, Mead & Company, Publishers|New York",823.8 STR,"Max Kromer: a story of the seige of Strasburg, 1970",,,,,,,2020-04-07T19:05:19+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3437,,,,,,
3438,no_image_found,,1941,fair,2|Shelf,,The World Publishing Company|USA,423,Webster's new concise illustrated dictionary,,,,,,,2020-04-07T19:05:19+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3438,,,,,,
3439,no_image_found,"Milne, William J.",1895,poor|Julia Parker,3|Shelf,https://archive.org/details/standardarithme01milngoog/page/n7#,American Book Company|New York,513 MIL,Standard arithmetic,,,,,,,2020-04-07T19:05:19+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3439,,,,,,
3440,no_image_found,"Caskoden, Edwin",1907,fair|Julia from Emee Christmas 1907,4|Shelf,,Grosset & Dunlap Publishers|New York,,When knighthood was in flower,,,,,,,2020-04-07T19:05:20+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3440,,,,,,
3441,no_image_found,"Hyde, Mary F.",1905,fair,5|Shelf,https://archive.org/details/twobookcourseine00maryrich#,"D. C. Heath & Co., Publishers|Boston",117.2 HYD,Two-book course in English,,,,,,,2020-04-07T19:05:20+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3441,,,,,,
3442,no_image_found,,1912,good,6|Shelf,https://books.google.com/books?id=oZpFAQAAMAAJ&pg=PA1&lpg=PA1&dq=state+of+nj+thirty-ninth+annual+report+of+the+state+board+of+agriculture+1911&source=bl&ots=FPWwT5tfT_&sig=8B8f6rBulS3xts7uP1vHbL1l8b8&hl=en&sa=X&ved=2ahUKEwjfp7yzuKLeAhUvw1kKHWWdCMQQ6AEwBHo#,"MacCrellish & Quigley, State Printers|Trenton, N.J.",630.9,State of New Jersey Thirty-Ninth Annual Report of the State Board of Agriculture,,,,,,,2020-04-07T19:05:20+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3442,,,,,,
3443,no_image_found,"Bowes, Major Edward",1939,fair,7|Shelf,https://archive.org/details/versesilike00bowe#,"Garden City Publishing Co., Inc.|New York",821.08 BOW,Verses I like,,,,,,,2020-04-07T19:05:20+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3443,,,,,,
3444,no_image_found,"Starke, D.",1916,good,8|Shelf,https://archive.org/details/poisehowtoattain00star/page/n5#,Funk & Wagnalls Company|New York,170 STA,Poise how to attain it,,,,,,,2020-04-07T19:05:20+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3444,,,,,,
3445,no_image_found,"Carr, Harry",1932,fair,9|Shelf,,Houghton Mifflin Company|New York,917.8 CAR,The west is still wild,,,,,,,2020-04-07T19:05:20+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3445,,,,,,
3446,no_image_found,Xanthes,1916,fair,10|Shelf,https://archive.org/details/speechhowtouseit00blan/page/n5#,Funk & Wagnalls Company|New York,137 XAN,Speech how to use it effectively,,,,,,,2020-04-07T19:05:20+00:00,1,The Parker Homestead Book Collection,False,0,1,Text,2020-07-01T16:13:18+00:00,65670,True,,https://theparkerhomestead.omeka.net/api/items/3446,,,,,,
